,Year,Name,tenure,TEAM,AGE,GP,W,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position,Height,Weight,Salary_Weight,Salary_Weight_l
0,1997,Horace Grant,8,ORL,32,76,38,36.9,12.1,5.2,11.3,45.9,0.0,0.1,0.0,1.8,2.6,67.8,3.0,5.1,8.1,2.3,1.2,1.1,1.0,2.4,30.4,13,0,-0.4,F-C,208.28,215.0,0.26143333333333335,0.5310674349442379
1,1998,Horace Grant,9,ORL,33,50,33,33.1,8.9,4.0,9.1,43.4,0.0,0.0,0.0,0.9,1.4,67.1,2.3,4.7,7.0,1.8,0.9,0.9,1.2,2.0,25.5,8,0,0.8,F-C,208.28,215.0,0.17507002941176472,0.26143333333333335
2,1999,Horace Grant,10,OKC,34,76,43,35.3,8.1,3.5,7.9,44.4,0.0,0.1,0.0,1.1,1.5,72.1,2.2,5.6,7.8,2.5,0.8,0.7,0.8,2.5,24.8,12,0,1.2,F-C,208.28,215.0,0.18309859154929578,0.17507002941176472
3,2000,Horace Grant,11,LAL,35,77,54,31.0,8.5,3.4,7.4,46.2,0.0,0.0,0.0,1.7,2.2,77.5,2.9,4.2,7.1,1.6,0.6,0.7,0.8,2.4,23.1,13,0,4.0,F-C,208.28,215.0,0.056931294117647066,0.18309859154929578
4,2001,Horace Grant,12,ORL,36,76,41,29.1,8.0,3.5,6.8,51.3,0.0,0.0,0.0,1.1,1.5,72.1,2.1,4.2,6.3,1.4,0.7,0.8,0.6,1.6,21.2,5,0,3.0,F-C,208.28,215.0,0.06609068560502594,0.056931294117647066
5,2002,Horace Grant,13,ORL,37,5,3,17.0,5.2,2.6,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.6,1.4,0.2,0.6,0.0,1.0,10.8,0,0,-2.8,F-C,208.28,215.0,0.024406934306569344,0.06609068560502594
6,1997,Reggie Miller,8,IND,32,81,58,34.5,19.5,6.4,13.3,47.7,2.0,4.7,42.9,4.7,5.4,86.8,0.6,2.3,2.9,2.1,1.6,1.0,0.1,1.8,27.8,0,0,6.5,G-F,200.66,185.0,0.22603333333333334,0.3357565055762082
7,1998,Reggie Miller,9,IND,33,50,33,35.8,18.4,5.9,13.4,43.8,2.1,5.5,38.5,4.5,4.9,91.5,0.5,2.2,2.7,2.2,1.5,0.7,0.2,2.0,26.2,1,0,3.8,G-F,200.66,185.0,0.2656426470588235,0.22603333333333334
8,1999,Reggie Miller,10,IND,34,81,55,36.9,18.1,5.8,12.9,44.8,2.0,5.0,40.8,4.6,5.0,91.9,0.6,2.3,3.0,2.3,1.6,1.0,0.3,1.6,27.6,0,0,3.4,G-F,200.66,185.0,0.30056338028169016,0.2656426470588235
9,2000,Reggie Miller,11,IND,35,81,41,39.3,18.9,6.4,14.5,44.0,2.1,5.7,36.6,4.0,4.3,92.8,0.5,3.0,3.5,3.2,1.6,1.0,0.2,2.0,29.8,1,0,0.0,G-F,200.66,185.0,0.28341352941176473,0.30056338028169016
10,2001,Reggie Miller,12,IND,36,79,40,36.6,16.5,5.2,11.6,45.3,2.3,5.6,40.6,3.7,4.1,91.1,0.3,2.5,2.8,3.2,1.5,1.1,0.1,1.8,26.8,0,0,-0.1,G-F,200.66,185.0,0.299135184127536,0.28341352941176473
11,2002,Reggie Miller,13,IND,37,70,38,30.3,12.6,4.0,9.1,44.1,1.6,4.5,35.5,3.0,3.3,90.0,0.3,2.2,2.5,2.4,0.9,0.9,0.1,1.3,21.1,1,0,2.9,G-F,200.66,185.0,0.11405109489051095,0.299135184127536
12,2003,Reggie Miller,14,IND,38,80,59,28.3,10.0,3.3,7.4,43.8,1.7,4.2,40.1,1.8,2.1,88.5,0.2,2.1,2.4,3.1,0.9,0.8,0.1,1.2,19.5,0,0,6.3,G-F,200.66,185.0,0.12537041258263049,0.11405109489051095
13,2004,Reggie Miller,15,IND,39,66,34,32.0,14.8,4.8,10.9,43.7,1.5,4.5,32.2,3.8,4.1,93.3,0.3,2.1,2.4,2.2,1.2,0.8,0.1,1.7,22.2,0,0,3.6,G-F,200.66,185.0,0.12121212121212122,0.12537041258263049
14,1997,Shaquille O'Neal,6,LAL,26,60,46,36.2,28.3,11.2,19.1,58.4,0.0,0.0,0.0,6.0,11.4,52.7,3.5,7.9,11.4,2.4,2.9,0.7,2.4,3.2,51.7,39,0,10.9,C,215.9,325.0,0.5,0.47796070631970256
